image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size,iou
005273.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/005273.png,876,116,890,198,0,0.399394274,1224,370,
005273.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/005273.png,984,120,1007,222,0,0.421512276,1224,370,
004508.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/004508.png,417,110,504,307,0,0.567756653,1224,370,
003502.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/003502.png,982,118,1145,370,0,0.305113792,1224,370,
003502.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/003502.png,279,155,340,335,0,0.371305943,1224,370,
003502.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/003502.png,651,138,719,349,0,0.527838409,1224,370,
003502.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/003502.png,692,142,760,339,0,0.681584835,1224,370,
003502.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/003502.png,832,138,895,347,0,0.762631059,1224,370,
003502.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/003502.png,892,87,963,370,0,0.806746721,1224,370,
003502.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/003502.png,588,131,663,366,0,0.863529742,1224,370,
003502.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/003502.png,749,148,814,331,0,0.878846824,1224,370,
003502.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/003502.png,566,143,632,365,0,0.887510359,1224,370,
003502.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/003502.png,539,140,566,249,0,0.963931799,1224,370,
003502.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/003502.png,1023,125,1098,370,0,0.985452235,1224,370,
000039.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/000039.png,505,159,513,200,0,0.292852134,1242,375,
001776.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/001776.png,2,159,21,336,0,0.34662208,1238,374,
001776.png,/home/jafar/Documents/Multimodal-Pedestrian-Detection-System/yolo_first_try/TrainYourOwnYOLO/Data/Source_Images/Test_Images/001776.png,811,151,879,333,0,0.709651053,1238,374,
